Ближний Восток	Blízký Východ
фломастер	fix
флоп	flop
фолк	folk
фольга	alobal
фонарик	baterka
фонарь	lampa
фонарь	svítilna
фонтанчик	pítko
форма	forma
форматировать	formátovat
форум	fórum
фосбюри	flop
фотограф	fotograf
фотография	fotografie
фотометрия	fotometrie
фотомодель	fotomodelka
франкоговорящий	frankofonní
франкоязычный	frankofonní
френд	kámoš
френчайзинг	frenchising
фреон	freon
фритюрница	fritovací hrnec
фрустированный	frustrovaný
фрустрация	frustrace
фрэнд	kámoš
фу	fuj
фужер	pohár
фундаментализм	fundamentalismus
фундаменталист	fundamentalista
фундаменталистский	fundamentalistický
футбол	fotbal
футбольный мяч	kopací míč
фэнтези	fantasy
фэнтэзи	fantasy
хай-фай	hi-fi
хай-фи	hi-fi
хайфай	hi-fi
хакер	hacker
хана	spadla klec
ханди	mobilní telefon
ханка	chlast
ханка	fet
ханка	žrádlo
хард	hard disk
хард-рок	hard rock
хардвэр	hardware
хасидизм	chasidismus
хек	hejk
хепенинг	happening
хеппенинг	happening
херакнутый	ujetý
хет-трик	hattrick
хинаяна	hinajána
хип-хоп	hip hop
хиппак	hippie
хиппарь	hippie
хиппи	hippie
хиппня	hippiové
хипповый	hippiovský
хит	hit
хит-парад	hitparáda
хитовый	hitový
хитрован	chytrolín
хитрость	rafinovanost
хлеб	chléb
хобби	hobby
ходик	policajt
ходьба	chůze
холдинг	holding
холодность	odstup
холокост	holokaust
хомут	policajt
хороший	dobrý
хоррор	horor
хоспиц	hospic
хот-дог	hot dog
хотеть	chtít
хохма	sranda
хризантема	chryzantéma
хроика	kronika
хронизатор	časovač
хронобиология	chronobiologie
хрущобы	králíkárny
хулиганство	přepadení
хумар	fet
хумарить	fetovat
хэви-метал	heavy metal
хэппенинг	happening
цар	car
цвести	kvést
цветник	záhon
цветок	květ
цветочный горшок	květináč
цветочный магазин	květinářství
целитель	léčitel
цель	cíl
цельный характер	charakter (čistý)
цена	cena
цензура	cenzura
центр	centrum
центр	středisko
центр	ústředí
центр города	centrum města
церковь	pravoslavný kostel
циркуляр	oběžník
цитостатики	citostatika
цитостатические средства	cytostatika
цифровой	digitální
цифровой преобразователь	digitalizátor
цукеша	cuketa
цунами	tsunami
цыганский язык	romština
чай	čaj
чайник	konvice na čaj
чакра	čakra
чартер	charter
чартерный	charterový
часовня	kaple
часто	často
часы	hodinky
часы	hodiny
часы-компостер	píchačky
чашка	šálek
чейндж	veksl
чейнджер	vekslák
чейнджить	vekslovat
челнок	pendl
человек	člověk
человечество	lidstvo
челюсть	čelist
чердак поехал (у кого)	ruplo v bedně (komu)
чередование	gradace
через	ob
через	po
через	pomocí
через	prostřednictvím
через	přes
через	skrz
через	za
через день	obden
черный	černošský
черта бедности	hranice chudoby
честный	čestný
четверть	čtvrtina
четвёртая часть	čtvrtina
чешский	český
чизбургер	cheesburger
чип	čip
чиповый	čipový
чипсы	chipsy
чистить	čistit
чистить	škrabat
чистый	čistý
чистый	čistý
читальный зал	čítárna
читальня	čítárna
читатель	čtenář
читательский билет	čtenářský průkaz
что	co
что же такое	a co je na tom
чувак	chlap
чувство	cit
чувство	cit 
чувтовать	cítit
чужак	cizinec
чужой человек	cizinec
чёрная дыра	černá díra
чёрный нал	špinavé peníze
чёрный ящик	černá skříňka
шаг	krok
шагать	kráčet
шампунь	šampaňské
шампусик	šampaňské
шариков	nemehlo
шарманщик	flašinetář
шарнирный автобус	kloubový autobus
шероховатый	hrubý
шероховатый	obhroublý
шершень	sršeň
шиваизм	šivaismus
шизанутый	ujetý
шизовый	ujetý
шизоидный	schizoidní
шизый	ujetý
шинковать	krouhat
широкофюзеляжный самолёт	velkokapacitní letadlo
шифрозамок	zámek s číseným kódem
шишкарь	papaláš
школа	škola
шкура	kůže
шмель	čmelák
шницель	řízek
шов	šev
шок	šok
шокировать	šokovat
шоковая терапия	šoková terapie
шокотерапия	šoková terapie
шоп-тури	výlety za nákupy
шорты	šortky
шоссе	silnice
шоу-бизнес	zábavní průmysl
шофёр	šofér
шпинат	špenát
шпонка	hmoždinka
штамп-часы	píchací hodiny
штатный	stálý
штопор	propad
штопор	vývrtka
штрафовать	dávat pokutu
штриховой	čárkový
штука	1000 rublů
шутка	žert
щелчок	kliknutí
щи	šči
щолкнуть	kliknout
эвакуация	odtah
эгоцентризм	egocentrismus
эгоцентрический	egocentrický
экземпляр	výtisk
экологист	ekolog
экологический	ekologický
экология	ekologie
экосистема	ekosystém
экосфера	ekosféra
экс	ex-
экс-жена	bývalá manželka
эксклюзивный	exkluzivní
экскурсия	exkurze
экспериментальный	výzkumný
экспертный	expertní
экстра	extra
экстра-класс	špičkový
экстрасенс	senzibil
экстрасенсорный	mimosmyslový
экю	eku
электоральная победа	volební vítězství
электоральные предпочтения	volební preference
электоральный	volební
электричество	elektřina
электромобиль	elektromobil
электронные часы	digitální hodinky
эмир	emír
эмпатия	empatie
энлонавт	ufon
эротический	erotický
эротичный	erotický
эскалатор	eskalátor
этил	etyl
этнос	etnikum
это	toto
этого	toho
этот	tenhle
этот	tento
этот	tento
эффективный	efektivní
эхо	dozvuk
эхолокация	echolokace
юг	jih
юго-восток	jihovýchod
юго-восточный	jihovýchodní
юго-западный	jihozápadní
юмор	humor
юморист	humorista
я	já
яблоко	jablko
яблоня	jabloň
ядро	jádro
язвительнось	trpkost
язык	jazyk
японец	Japonec
японский язык	japonština
﻿отчет	ohlásit
